CustomerID,num_orders,total_spend,last_order_date,Country,ValueSegment
12346.0,1,77183.6,2011-01-18 10:01:00,United Kingdom,High Value
12347.0,7,4310.0,2011-12-07 15:52:00,Iceland,High Value
12348.0,4,1797.24,2011-09-25 13:13:00,Finland,Mid Value
12349.0,1,1757.55,2011-11-21 09:51:00,Italy,Mid Value
12350.0,1,334.4,2011-02-02 16:01:00,Norway,Low Value
12352.0,8,2506.04,2011-11-03 14:37:00,Norway,High Value
12353.0,1,89.0,2011-05-19 17:47:00,Bahrain,Low Value
12354.0,1,1079.4,2011-04-21 13:11:00,Spain,Mid Value
12355.0,1,459.4,2011-05-09 13:49:00,Bahrain,Low Value
12356.0,3,2811.43,2011-11-17 08:40:00,Portugal,High Value
12357.0,1,6207.67,2011-11-06 16:07:00,Switzerland,High Value
12358.0,2,1168.06,2011-12-08 10:26:00,Austria,Mid Value
12359.0,4,6310.03,2011-10-13 12:47:00,Cyprus,High Value
12360.0,3,2662.06,2011-10-18 15:22:00,Austria,High Value
12361.0,1,189.9,2011-02-25 13:51:00,Belgium,Low Value
12362.0,10,5226.23,2011-12-06 15:40:00,Belgium,High Value
12363.0,2,552.0,2011-08-22 10:18:00,Unspecified,Mid Value
12364.0,4,1313.1,2011-12-02 10:22:00,Belgium,Mid Value
12365.0,2,641.38,2011-02-21 14:04:00,Cyprus,Mid Value
12367.0,1,168.9,2011-12-05 16:48:00,Denmark,Low Value
12370.0,4,3541.94,2011-10-19 14:51:00,Cyprus,High Value
12371.0,2,1887.96,2011-10-26 10:16:00,Switzerland,Mid Value
12372.0,3,1298.04,2011-09-29 12:12:00,Denmark,Mid Value
12373.0,1,364.6,2011-02-01 13:10:00,Austria,Low Value
12374.0,1,742.93,2011-11-14 15:37:00,Austria,Mid Value
12375.0,2,457.5,2011-11-29 10:36:00,Finland,Low Value
12377.0,2,1628.12,2011-01-28 15:45:00,Switzerland,Mid Value
12378.0,1,4008.62,2011-08-02 10:34:00,Switzerland,High Value
12379.0,2,852.24,2011-09-19 10:09:00,Belgium,Mid Value
12380.0,4,2724.81,2011-11-18 11:27:00,Belgium,High Value
12381.0,5,1845.31,2011-12-05 12:44:00,Norway,Mid Value
12383.0,5,1850.56,2011-06-08 08:02:00,Belgium,Mid Value
12384.0,2,585.27,2011-11-11 08:39:00,Switzerland,Mid Value
12386.0,2,401.9,2011-01-06 12:37:00,Australia,Low Value
12388.0,6,2780.66,2011-11-24 12:30:00,Australia,High Value
12390.0,1,549.84,2011-09-21 09:33:00,Belgium,Mid Value
12391.0,1,439.66,2011-11-18 12:07:00,Cyprus,Low Value
12393.0,4,1582.6,2011-09-28 15:41:00,Australia,Mid Value
12394.0,2,1272.48,2011-10-07 08:08:00,Belgium,Mid Value
12395.0,12,3018.63,2011-11-20 15:21:00,Belgium,High Value
12397.0,2,2409.9,2011-11-04 09:52:00,Belgium,High Value
12398.0,1,1635.6599999999999,2011-10-25 10:27:00,Switzerland,Mid Value
12399.0,4,1108.65,2011-08-12 13:15:00,Belgium,Mid Value
12401.0,1,84.3,2011-02-09 13:50:00,Belgium,Low Value
12402.0,1,225.6,2011-01-20 13:49:00,Belgium,Low Value
12403.0,1,427.7,2011-10-21 10:51:00,Denmark,Low Value
12405.0,1,1710.3899999999999,2011-07-14 08:52:00,Finland,Mid Value
12406.0,2,3415.2999999999997,2011-11-17 19:22:00,Denmark,High Value
12407.0,5,1708.12,2011-10-21 10:11:00,Belgium,Mid Value
12408.0,5,2888.55,2011-11-07 12:27:00,Belgium,High Value
12409.0,3,11072.67,2011-09-22 10:38:00,Switzerland,High Value
12410.0,2,693.33,2011-02-04 10:39:00,Switzerland,Mid Value
12412.0,3,1226.8799999999999,2011-09-26 10:16:00,Denmark,Mid Value
12413.0,3,758.1,2011-10-04 09:00:00,France,Mid Value
12414.0,3,562.41,2011-05-06 14:51:00,Austria,Mid Value
12415.0,21,124914.53,2011-11-15 14:22:00,Australia,High Value
12417.0,9,3649.1,2011-12-06 14:52:00,Belgium,High Value
12418.0,1,668.58,2011-08-19 11:08:00,Switzerland,Mid Value
12420.0,1,600.39,2011-10-07 08:55:00,Cyprus,Mid Value
12421.0,4,807.04,2011-11-24 09:07:00,Spain,Mid Value
12422.0,3,803.56,2011-09-05 09:48:00,Australia,Mid Value
12423.0,8,1859.31,2011-12-09 10:10:00,Belgium,Mid Value
12424.0,2,1760.96,2011-06-30 12:06:00,Australia,Mid Value
12425.0,1,777.2,2011-09-22 17:31:00,Portugal,Mid Value
12426.0,1,582.73,2011-05-29 12:26:00,Germany,Mid Value
12427.0,3,825.8000000000001,2011-11-18 08:56:00,Germany,Mid Value
12428.0,9,7956.46,2011-11-14 08:22:00,Finland,High Value
12429.0,4,3750.4,2011-11-30 17:22:00,Denmark,High Value
12430.0,1,256.4,2011-10-27 15:09:00,Norway,Low Value
12431.0,15,6419.95,2011-11-04 11:55:00,Australia,High Value
12432.0,5,5059.32,2011-10-28 11:43:00,Norway,High Value
12433.0,7,13375.87,2011-12-09 10:02:00,Norway,High Value
12434.0,2,806.14,2011-09-16 12:38:00,Australia,Mid Value
12435.0,2,7829.889999999999,2011-09-21 09:06:00,Denmark,High Value
12436.0,1,509.01,2011-09-01 12:09:00,Norway,Mid Value
12437.0,18,4951.41,2011-12-08 11:35:00,France,High Value
12438.0,2,2906.85,2011-11-25 13:28:00,Norway,High Value
12441.0,1,173.55,2010-12-08 10:45:00,France,Low Value
12442.0,1,172.06,2011-12-06 14:22:00,Spain,Low Value
12444.0,5,5005.46,2011-11-18 13:23:00,Norway,High Value
12445.0,1,133.4,2011-11-17 18:43:00,Spain,Low Value
12446.0,1,1002.31,2011-10-13 12:50:00,RSA,Mid Value
12447.0,1,476.49,2011-04-10 13:25:00,Belgium,Low Value
12448.0,1,449.45,2011-10-26 13:46:00,Spain,Low Value
12449.0,4,4067.29,2011-11-17 13:46:00,Belgium,High Value
12450.0,2,197.88,2011-07-06 14:41:00,Spain,Low Value
12451.0,5,9035.52,2011-11-29 08:40:00,Switzerland,High Value
12452.0,2,430.57,2011-11-23 10:28:00,Switzerland,Low Value
12453.0,1,707.09,2011-07-28 14:08:00,Austria,Mid Value
12454.0,1,3528.34,2011-10-14 17:13:00,Spain,High Value
12455.0,6,2466.86,2011-09-27 15:31:00,Spain,High Value
12456.0,3,3181.04,2011-10-26 14:41:00,Switzerland,High Value
12457.0,7,2363.23,2011-10-04 13:13:00,Switzerland,High Value
